latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
37.94032,-76.8968,346.39,1,1,2022-04-22,1554,T,94,6.1NRT,296.09,50.4,D
37.93864,-76.88557,376.68,1,1,2022-04-22,1554,T,94,6.1NRT,300.75,135.85,D
37.93697,-76.87435,316.4,1,1,2022-04-22,1554,T,54,6.1NRT,296.54,8.9,D
37.81724,-77.76649,310.52,1,1,2022-04-22,1554,T,55,6.1NRT,297.66,5.08,D
37.70554,-77.43857,309.1,1,1,2022-04-22,1554,T,18,6.1NRT,295.02,3.58,D
19.61687,-90.08051,319.51,2.83,1.61,2022-04-22,1558,T,71,6.1NRT,295.81,40.2,D
19.45746,-89.97068,317.89,2.76,1.59,2022-04-22,1558,T,43,6.1NRT,296.7,31.82,D
19.42274,-89.95359,316.17,2.75,1.59,2022-04-22,1558,T,41,6.1NRT,295.8,23.82,D
37.20165,-76.59757,314,1.01,1.01,2022-04-22,1554,T,0,6.1NRT,295.95,7.88,D
37.05761,-77.17387,317.11,1,1,2022-04-22,1554,T,71,6.1NRT,305.97,10.39,D
36.78583,-76.24215,314.78,1.03,1.01,2022-04-22,1554,T,48,6.1NRT,299.6,4.74,D
36.35489,-76.80519,310.92,1.01,1.01,2022-04-22,1554,T,42,6.1NRT,298.58,6.13,D
36.28122,-78.57622,315.77,1.01,1.01,2022-04-22,1554,T,68,6.1NRT,298.62,8.68,D
35.99827,-85.14384,328.05,2.06,1.4,2022-04-22,1554,T,83,6.1NRT,294.61,62.85,D
35.29802,-79.89456,324.8,1.07,1.03,2022-04-22,1554,T,79,6.1NRT,298.21,19.19,D
35.29197,-79.90186,327.66,1.07,1.03,2022-04-22,1554,T,81,6.1NRT,296.73,23.77,D
35.29044,-79.89023,324.74,1.07,1.03,2022-04-22,1554,T,78,6.1NRT,296.22,20.06,D
34.53183,-79.04464,320.15,1.01,1.01,2022-04-22,1554,T,49,6.1NRT,300.61,10.03,D
34.73403,-81.18878,309.42,1.18,1.08,2022-04-22,1554,T,42,6.1NRT,294.63,5.36,D
34.64763,-83.77502,308.29,1.62,1.25,2022-04-22,1554,T,50,6.1NRT,295.7,7.51,D
34.59743,-85.08001,316.05,1.96,1.37,2022-04-22,1554,T,71,6.1NRT,293.88,29.57,D
34.59406,-85.08617,315.55,1.96,1.37,2022-04-22,1554,T,70,6.1NRT,293.71,26.87,D
34.13203,-82.22326,310.76,1.3,1.13,2022-04-22,1554,T,57,6.1NRT,296.46,8.77,D
34.31877,-85.18404,307.85,1.97,1.37,2022-04-22,1556,T,45,6.1NRT,295.04,12.05,D
33.77351,-81.01749,313.12,1.13,1.06,2022-04-22,1556,T,62,6.1NRT,295.56,8.84,D
33.77197,-81.00536,314.49,1.13,1.06,2022-04-22,1556,T,65,6.1NRT,294.83,10.31,D
33.09772,-79.52404,314.22,1.02,1.01,2022-04-22,1556,T,66,6.1NRT,295.58,9.12,D
33.09622,-79.51327,319.4,1.02,1.01,2022-04-22,1556,T,74,6.1NRT,296.55,13.65,D
33.19667,-81.53702,309.18,1.18,1.08,2022-04-22,1556,T,41,6.1NRT,297.36,5,D
32.8773,-80.91444,314.12,1.1,1.05,2022-04-22,1556,T,61,6.1NRT,299.18,9.15,D
32.87582,-80.90277,314.71,1.1,1.05,2022-04-22,1556,T,64,6.1NRT,298.57,9.88,D
32.82102,-81.35516,327.89,1.15,1.07,2022-04-22,1556,T,82,6.1NRT,299.22,23.83,D
32.81954,-81.34303,333,1.14,1.07,2022-04-22,1556,T,86,6.1NRT,298.8,32.23,D
33.24253,-85.18142,307.66,1.91,1.35,2022-04-22,1556,T,41,6.1NRT,295.27,9.96,D
33.24058,-85.16114,315.64,1.9,1.35,2022-04-22,1556,T,71,6.1NRT,295.98,25.91,D
32.81641,-81.35019,328.43,1.14,1.07,2022-04-22,1556,T,82,6.1NRT,298.78,25.22,D
32.4416,-81.02123,313.46,1.1,1.05,2022-04-22,1556,T,61,6.1NRT,298.29,7.52,D
32.44012,-81.00962,312.15,1.1,1.05,2022-04-22,1556,T,56,6.1NRT,297.83,6.42,D
32.53435,-82.72903,312.87,1.32,1.14,2022-04-22,1556,T,62,6.1NRT,299.52,8.69,D
32.57874,-84.45702,326.7,1.68,1.27,2022-04-22,1556,T,82,6.1NRT,296.96,41.18,D
32.56731,-84.45856,318.77,1.68,1.27,2022-04-22,1556,T,74,6.1NRT,297.3,24.38,D
32.42577,-84.748,319.7,1.75,1.3,2022-04-22,1556,T,75,6.1NRT,298.58,28,D
32.42395,-84.72958,313.04,1.74,1.29,2022-04-22,1556,T,62,6.1NRT,296.49,14.6,D
31.99448,-81.76756,340.19,1.17,1.08,2022-04-22,1556,T,90,6.1NRT,298.46,47.03,D
31.99297,-81.7553,347.38,1.17,1.08,2022-04-22,1556,T,94,6.1NRT,298.12,64.04,D
31.99147,-81.74306,322.8,1.17,1.08,2022-04-22,1556,T,76,6.1NRT,296.83,18.43,D
31.98335,-81.75687,325.57,1.17,1.08,2022-04-22,1556,T,79,6.1NRT,297.06,21.3,D
31.73705,-81.82921,314.98,1.17,1.08,2022-04-22,1556,T,65,6.1NRT,298.37,11.01,D
31.87898,-84.40074,312.83,1.63,1.26,2022-04-22,1556,T,42,6.1NRT,299.62,12.11,D
31.50211,-83.35793,319.67,1.39,1.17,2022-04-22,1556,T,65,6.1NRT,293.77,18.79,D
